|   id |      x |      y |  size |
|  399 | -16.75 |  -5.25 | 0.024 |
|  400 | -16.75 |  -4.75 | 0.024 |
|  401 | -16.75 |  -4.25 | 0.024 |
|  402 | -16.75 |  -3.75 | 0.024 |
|  403 | -16.75 |  -3.25 | 0.024 |
|  404 | -16.75 |  -2.75 | 0.024 |
|  405 | -16.75 |  -2.25 | 0.024 |
|  406 | -16.75 |  -1.75 | 0.024 |
|  407 | -16.75 |  -1.25 | 0.024 |
|  408 | -16.75 |  -0.75 | 0.024 |
|  409 | -16.75 |  -0.25 | 0.024 |
|  410 | -16.75 |   0.25 | 0.024 |
|  411 | -16.75 |   0.75 | 0.024 |
|  412 | -16.75 |   1.25 | 0.024 |
|  413 | -16.75 |   1.75 | 0.024 |
|  414 | -16.75 |   2.25 | 0.024 |
|  415 | -16.75 |   2.75 | 0.024 |
|  416 | -16.75 |   3.25 | 0.024 |
|  417 | -16.75 |   3.75 | 0.024 |
|  418 | -16.75 |   4.25 | 0.024 |
|  419 | -16.75 |   4.75 | 0.024 |
|  420 | -16.75 |   5.25 | 0.024 |
|  421 | -16.75 |   5.75 | 0.024 |
|  422 | -16.75 |   6.25 | 0.024 |
|  423 | -16.75 |   6.75 | 0.024 |
|  424 | -16.75 |   7.25 | 0.024 |
|  425 | -16.75 |   7.75 | 0.024 |
|  426 | -16.75 |   8.25 | 0.024 |
|  427 | -16.75 |   8.75 | 0.024 |
|  428 | -16.75 |   9.25 | 0.024 |
|  429 | -16.75 |   9.75 | 0.024 |
|  430 | -16.75 |  10.25 | 0.024 |
|  431 | -16.75 |  10.75 | 0.024 |
|  432 | -16.75 |  11.25 | 0.024 |
|  433 | -16.75 |  11.75 | 0.024 |
|  434 | -16.75 |  12.25 | 0.024 |
|  435 | -16.75 |  12.75 | 0.024 |
|  436 | -16.75 |  13.25 | 0.024 |
|  437 | -16.75 |  13.75 | 0.024 |
|  438 | -16.75 |  14.25 | 0.024 |
|  439 | -16.25 | -14.75 | 0.024 |
|  440 | -16.25 | -14.25 | 0.024 |
|  441 | -16.25 | -13.75 | 0.024 |
|  442 | -16.25 | -13.25 | 0.024 |
|  443 | -16.25 | -12.75 | 0.024 |
|  444 | -16.25 | -12.25 | 0.024 |
|  445 | -16.25 | -11.75 | 0.024 |
|  446 | -16.25 | -11.25 | 0.024 |
|  447 | -16.25 | -10.75 | 0.024 |
|  448 | -16.25 | -10.25 | 0.024 |
|  449 | -16.25 |  -9.75 | 0.024 |
|  450 | -16.25 |  -9.25 | 0.024 |
|  451 | -16.25 |  -8.75 | 0.024 |
|  452 | -16.25 |  -8.25 | 0.024 |
|  453 | -16.25 |  -7.75 | 0.024 |
|  454 | -16.25 |  -7.25 | 0.024 |
|  455 | -16.25 |  -6.75 | 0.024 |
|  456 | -16.25 |  -6.25 | 0.024 |
|  457 | -16.25 |  -5.75 | 0.024 |
|  458 | -16.25 |  -5.25 | 0.024 |
|  459 | -16.25 |  -4.75 | 0.024 |
|  460 | -16.25 |  -4.25 | 0.024 |
